sku,name,change_type,old_quantity,new_quantity,quantity_difference,old_location,new_location
SKU-053,Isopropyl Alcohol 99%,modified,150.0,140.0,-10.0,Warehouse C,Warehouse C
SKU-054,Microfiber Cloth 10pk,modified,300.0,285.0,-15.0,Warehouse C,Warehouse C
SKU-055,Screen Cleaner,modified,250.0,235.0,-15.0,Warehouse C,Warehouse C
SKU-056,Keyboard Cleaner Gel,modified,180.0,168.0,-12.0,Warehouse C,Warehouse C
SKU-057,Monitor Stand,modified,45.0,42.0,-3.0,Warehouse A,Warehouse A
SKU-058,Laptop Stand,modified,60.0,58.0,-2.0,Warehouse A,Warehouse A
SKU-059,Tablet Stand,modified,80.0,75.0,-5.0,Warehouse A,Warehouse A
SKU-060,Phone Stand,modified,120.0,115.0,-5.0,Warehouse A,Warehouse A
SKU-061,Desk Organizer,modified,90.0,85.0,-5.0,Warehouse B,Warehouse B
SKU-062,Cable Management Box,modified,110.0,105.0,-5.0,Warehouse B,Warehouse B
SKU-063,Headphone Hook,modified,200.0,192.0,-8.0,Warehouse B,Warehouse B
SKU-064,Webcam Mount,modified,75.0,72.0,-3.0,Warehouse A,Warehouse A
SKU-065,Ring Light 10in,modified,40.0,38.0,-2.0,Warehouse A,Warehouse A
SKU-066,Ring Light 18in,modified,25.0,22.0,-3.0,Warehouse A,Warehouse A
SKU-067,Tripod Small,modified,55.0,52.0,-3.0,Warehouse B,Warehouse B
SKU-068,Tripod Large,modified,35.0,33.0,-2.0,Warehouse B,Warehouse B
SKU-069,Green Screen,modified,20.0,18.0,-2.0,Warehouse A,Warehouse A
SKU-070,Backdrop Stand,modified,15.0,12.0,-3.0,Warehouse A,Warehouse A
SKU-071,USB Microphone,modified,30.0,28.0,-2.0,Warehouse A,Warehouse A
SKU-072,XLR Microphone,modified,20.0,18.0,-2.0,Warehouse A,Warehouse A
SKU-073,Pop Filter,modified,100.0,95.0,-5.0,Warehouse B,Warehouse B
SKU-074,Boom Arm,modified,45.0,42.0,-3.0,Warehouse B,Warehouse B
SKU-075,Shock Mount,modified,40.0,38.0,-2.0,Warehouse B,Warehouse B
SKU-076,Stream Deck Mini,added,0,15.0,15.0,,Warehouse A
SKU-077,Stream Deck XL,added,0,8.0,8.0,,Warehouse A
SKU-078,Capture Card,added,0,12.0,12.0,,Warehouse A
SKU-079,USB-C Hub,added,0,45.0,45.0,,Warehouse A
SKU-080,Thunderbolt Cable,added,0,30.0,30.0,,Warehouse A
